Name,City,State,Zip,Bank,BankState,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,RevLineCr,LowDoc,Sector,ApprovalMonth,IsFranchise,clean_DisbursementGross,MIS_Status,clean_ChgOffPrinGr,clean_GrAppv,clean_SBA_Appv
EMANUEL CHRISTIAN BOOKS AND RE,HOLYOKE,MA,1040,"TD BANK, NATIONAL ASSOCIATION",DE,84,2,0,0,2,1,1,0,44,Mar,0,25959.0,1,0.0,10000.0,5000.0
JA PATENAUDE CO LLC DBA ALTERN,MONSON,MA,1057,CITIZENS BANK NATL ASSOC,RI,84,7,0,0,7,1,1,0,23,Jun,0,98479.0,1,0.0,50000.0,25000.0
JC & COMPANY INC,NORTHAMPTON,MA,1060,FLORENCE SAVINGS BANK,MA,60,2,0,0,2,1,1,0,23,Apr,0,135070.0,1,0.0,35000.0,17500.0
"BUGRA, LLC DBA VALLEY PIZZA",WESTFIELD,MA,1085,CITIZENS BANK NATL ASSOC,RI,84,4,0,0,4,1,0,0,72,Mar,0,20000.0,1,0.0,20000.0,10000.0
"WESTERN MASS AUTO GLASS, INC.",W. SPRINGFIELD,MA,1089,BANK OF AMERICA NATL ASSOC,MA,84,6,1,0,0,0,0,1,81,Apr,0,50000.0,1,0.0,50000.0,45000.0
SPRINGFIELD INJURY RELIEF & RE,SPRINGFIELD,MA,1103,"TD BANK, NATIONAL ASSOCIATION",DE,11,5,0,0,5,1,1,0,62,Dec,0,53000.0,0,50000.0,50000.0,25000.0
PARK AVENUE FLORIST,SPRINGFIELD,MA,1108,BANK OF WESTERN MASSACHUSETTS,MA,84,4,0,0,0,0,0,1,44,Oct,0,65000.0,1,0.0,65000.0,58500.0
DennisWTeichert,Pittsfield,MA,1201,GREYLOCK FCU,MA,48,1,1,4,5,2,0,0,23,May,0,44000.0,1,0.0,44000.0,33000.0
Holly J. Drosehn/Sean Taylor (,CHESHIRE,MA,1225,GREYLOCK FCU,MA,240,2,1,4,6,2,0,0,53,Mar,0,202200.0,1,0.0,202200.0,151650.0
"HISTORIC EVENTS, LTD.",GARDNER,MA,1440,"TD BANK, NATIONAL ASSOCIATION",MA,180,6,1,0,0,0,0,0,52,Jan,0,98500.0,1,0.0,98500.0,78800.0
