State,Bank,BankState,Term,NoEmp,NewExist,CreateJob,UrbanRural,RevLineCr,LowDoc,Sector,IsFranchise,clean_DisbursementGross,MIS_Status,clean_GrAppv
MA,"TD BANK, NATIONAL ASSOCIATION",DE,84,2,0,0,1,1,0,44,0,25959.0,1,10000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,7,0,0,1,1,0,23,0,98479.0,1,50000.0
MA,FLORENCE SAVINGS BANK,MA,60,2,0,0,1,1,0,23,0,135070.0,1,35000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,4,0,0,1,0,0,72,0,20000.0,1,20000.0
MA,BANK OF AMERICA NATL ASSOC,MA,84,6,1,0,0,0,1,81,0,50000.0,1,50000.0
MA,"TD BANK, NATIONAL ASSOCIATION",DE,11,5,0,0,1,1,0,62,0,53000.0,0,50000.0
MA,BANK OF WESTERN MASSACHUSETTS,MA,84,4,0,0,0,0,1,44,0,65000.0,1,65000.0
MA,GREYLOCK FCU,MA,48,1,1,4,2,0,0,23,0,44000.0,1,44000.0
MA,GREYLOCK FCU,MA,240,2,1,4,2,0,0,53,0,202200.0,1,202200.0
MA,"TD BANK, NATIONAL ASSOCIATION",MA,180,6,1,0,0,0,0,52,0,98500.0,1,98500.0
MA,CITIZENS BANK NATL ASSOC,RI,60,10,0,0,1,0,0,44,0,85000.0,1,85000.0
MA,"FLAGSHIP BANK, A DIVISION OF",MA,34,1,1,1,1,1,0,54,0,10000.0,1,10000.0
MA,PEOPLE'S UNITED BANK,CT,84,1,1,0,2,0,0,44,0,76000.0,1,76000.0
MA,BANK OF AMERICA NATL ASSOC,NC,78,1,1,2,1,1,0,42,0,74460.0,1,67500.0
MA,WORCESTER BUS. DEVEL CORP,MA,240,44,0,44,0,0,0,0,0,433000.0,1,433000.0
MA,BAY COLONY DEVEL CORP,MA,240,32,0,32,0,0,0,71,0,1000000.0,1,1000000.0
MA,"SUPERIOR FINANCIAL GROUP, LLC",CA,76,1,0,0,1,0,0,44,0,7500.0,0,7500.0
MA,"FLAGSHIP BANK, A DIVISION OF",MA,189,4,1,0,0,0,0,0,0,42000.0,1,42000.0
MA,"TD BANK, NATIONAL ASSOCIATION",DE,84,2,0,0,1,1,0,23,0,29023.0,1,15000.0
MA,CITIZENS BANK NATL ASSOC,MA,49,7,0,0,1,1,0,23,0,15000.0,0,15000.0
MA,BANK OF AMERICA NATL ASSOC,RI,48,1,0,0,1,0,0,48,0,5000.0,1,5000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,3,0,0,1,1,0,53,0,149200.0,1,75000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,1,1,0,54,0,35100.0,1,35000.0
MA,WELLS FARGO BANK NATL ASSOC,SD,84,25,0,0,1,1,0,72,0,249801.0,1,100000.0
MA,PEOPLE'S UNITED BANK,CT,84,20,0,0,1,0,0,31,0,500000.0,1,500000.0
MA,BANK OF AMERICA NATL ASSOC,RI,73,3,0,0,1,1,0,23,0,77560.0,1,50000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,0,0,54,0,13760.0,1,15000.0
MA,EASTERN BANK,MA,84,3,0,1,1,1,0,54,0,826286.0,1,185000.0
MA,CITIZENS BANK NATL ASSOC,NH,84,70,0,0,1,1,0,48,0,5000.0,1,5000.0
MA,COMMERCE BANK & TRUST COMPANY,MA,120,2,0,0,1,0,0,42,0,100000.0,1,100000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,10,0,0,1,1,0,44,0,132087.0,1,75000.0
MA,BANK OF AMERICA NATL ASSOC,NC,84,1,0,0,1,1,0,23,0,10000.0,1,10000.0
MA,ENTERPRISE BK & TR CO,MA,60,2,1,0,1,0,0,0,0,20000.0,1,20000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,1,0,0,1,1,0,62,0,5000.0,1,5000.0
MA,ENTERPRISE BK & TR CO,MA,84,1,1,0,0,0,1,0,1,82480.0,1,90000.0
MA,DANVERSBANK,MA,120,2,0,0,1,0,0,52,0,80000.0,1,80000.0
MA,BANK OF AMERICA NATL ASSOC,CT,240,5,0,0,0,0,0,62,0,125000.0,1,125000.0
MA,CITIZENS BANK NATL ASSOC,RI,15,1,1,0,1,0,0,44,0,4995.0,0,10000.0
MA,DANVERSBANK,MA,69,9,0,0,1,1,0,23,0,49228.0,1,40000.0
MA,BANK OF AMERICA NATL ASSOC,RI,90,6,1,0,0,0,0,31,0,100000.0,1,100000.0
MA,BANK OF AMERICA NATL ASSOC,NC,84,25,0,0,0,0,0,31,0,225000.0,1,225000.0
MA,CITIZENS BANK NATL ASSOC,RI,24,25,0,0,2,1,0,72,0,83600.0,0,75000.0
MA,DANVERSBANK,MA,84,2,1,0,0,0,1,0,0,35000.0,1,35000.0
MA,CITIZENS BANK NATL ASSOC,RI,60,7,1,5,1,0,0,56,0,40000.0,1,40000.0
MA,CITIZENS BANK NATL ASSOC,RI,29,3,0,0,1,1,0,81,0,79154.0,0,50000.0
MA,SALEM FIVE CENTS SAVINGS BANK,MA,84,30,0,0,0,0,1,51,0,100000.0,1,100000.0
MA,MIDDLESEX SAVINGS BANK,MA,84,30,0,0,0,0,0,0,0,175000.0,1,175000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,1,0,1,1,1,0,81,0,10100.0,1,10000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,2,0,0,1,1,0,23,0,11000.0,1,11000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,15,0,0,1,1,0,51,0,66727.0,1,35000.0
MA,NEW ENGLAND CERT. DEVEL CORP,MA,240,55,0,8800,0,0,0,0,0,500000.0,1,500000.0
MA,CITIZENS BANK NATL ASSOC,RI,31,5,0,3,1,1,0,51,0,14680.0,0,5000.0
MA,NEW ENGLAND CERT. DEVEL CORP,MA,240,98,1,14,0,0,0,0,0,217000.0,1,217000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,25,0,5,1,1,0,62,0,358796.0,1,149000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,3,0,0,1,1,0,54,0,48600.0,1,20000.0
MA,BANK OF AMERICA NATL ASSOC,RI,36,5,1,0,1,1,0,31,0,100000.0,1,100000.0
MA,PEOPLE'S UNITED BANK,CT,84,35,0,0,1,0,0,56,0,670000.0,1,670000.0
MA,CITIZENS BANK NATL ASSOC,RI,4,1,1,0,1,0,0,44,0,41304.0,0,50000.0
MA,BANK OF AMERICA NATL ASSOC,NC,83,9,1,0,1,0,0,48,0,134865.0,1,85000.0
MA,BANK OF AMERICA NATL ASSOC,NC,48,3,0,2,1,1,0,81,0,40000.0,0,40000.0
MA,BANK OF AMERICA NATL ASSOC,RI,48,3,0,0,1,1,0,44,0,24300.0,1,11900.0
MA,CITIZENS BANK NATL ASSOC,RI,84,20,0,0,1,0,0,72,0,250000.0,1,250000.0
MA,CITIZENS BANK NATL ASSOC,RI,34,45,0,0,1,0,0,54,0,21500.0,0,21500.0
MA,CITIZENS BANK NATL ASSOC,MA,84,10,0,0,1,1,0,54,0,103449.0,1,100000.0
MA,BANK OF AMERICA NATL ASSOC,NC,24,6,0,0,0,0,0,0,0,37500.0,1,37500.0
MA,BANK OF AMERICA NATL ASSOC,RI,12,6,0,0,0,1,0,44,0,30000.0,1,30000.0
MA,SANTANDER BANK NATL ASSOC,PA,36,4,0,0,1,0,0,23,0,100000.0,1,100000.0
MA,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,1,0,53,0,11225.0,1,15000.0
